name,address,latitude,longitude,phone,overview,Total Sites,Overnight Sites,Seasonal Sites,Maximum Amperage,Electrical / Water / Sewer,Electrical / Water,Electrical,No Services,Min / Max (Daily),Max length (of RV),activities,Accessible facilities,Credit/debit cards,Dumping (station or mobile),Group camping,Internet (WiFi at site),Laundromat,Pet-friendly,Planned activities/events,Playground,Pull-thru sites,Rec hall/games room,Restaurant/snack bar,Store,Swimming (outdoor pool),Toilets/showers (comfort station),"Boating (marina, boat launch, or docks)",Cable TV (at site),Controlled access,Hot tub,Internet (hot spot),Propane,Swimming (indoor pool),"Swimming (lake, river, or beach)",Toilets (pit/outhouse)
River Place Campground Ltd.,"232352 Conc 2 West Grey, RR 3, Ayton, Ontario, N0G 1C0",44.07687,-80.83215,519-338-3010,"River Place Campground is tucked into the countryside of West Grey County, situated along the scenic banks of the River Beatty-Saugeen. With seasonal campsites as well as a variety of overnight camping options, River Place is a family campground providing a safe, relaxed and fun atmosphere for all who visit.",170,32,138,30,145,0,0,25,$45 / $45,40 ft,"Activities In or Around the Campground:Dances, Fishing, Horseshoes, Swimming (lake, river)",0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1
River Run,"1260 Grants Settlement Rd, Foresters Falls, Ontario, K0J 1V0",45.71008,-76.73983,613-646-2501,"River Run Rafting and Resort offers many different types of accommodation. Whether you are looking to camp, stay in a cabin or be pampered in luxury, it’s all right here. Our location on the Ottawa River is beautiful, with exclusive access to Ottawa River Provincial Park next door!",30,30,0,30,0,6,0,24,$ / $,30 ft,"Activities In or Around the Campground:Fishing, Horseback riding, Swimming (lake, river), Walking/hiking trails, Whitewater rafting",0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
Riverview Campground,"22164 Valleyview Rd, Thorndale, Ontario, N0M 2P0",43.10518,-81.17695,519-851-3089,"River View Campground: family camping at its best. 5 minutes north of London on the Thames River. Seasonal, transient and tent camping. Trailers for rent. Nature trails, fishing, canoeing and planned events.",100,20,80,30,0,92,0,8,$ / $,,"Activities In or Around the Campground:Basketball, Fishing, Shuffleboard, Swimming (lake, river), Table tennis",1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0
Rocher Rouge Campground,"70 Ontario St W, Killarney, Ontario, P0M 2A0",45.97655,-81.51465,705-287-2332,On Georgian/Killarney Bay. Watch sunsets over beautiful Lacloche Mountains. Canoe to covered portage. Walk through Killarney village. Every amenity and convenience close by. Access provincial park trails. Wilderness at its best.,35,30,5,0,0,0,0,35,$28 / $30,,"Activities In or Around the Campground:Golf, Restaurants, Fishing, Walking/hiking trails",1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
Rochester Place Golf Club & Resort,"981-991 County Rd 2, Belle River, Ontario, N0R 1A0",42.29826,-82.70782,519-728-2361,"Newly renovated pool and playground. Fully secure. Great fishing and boating on Lake St Clair. 18-hole, par-72 golf course. The Parkside Grille Restaurant onsite. Close to US border. Ideal for families and snowbirds.",271,50,221,50,271,0,0,0,$55 / $,40 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Golf, Volleyball, Walking/hiking trails",1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0
Rock Island Camp,"357 County Rd 5, South, Front of Yonge Twp, Latitude 44.34174 N & Longitude 75.53307 W, Athens, Ontario, K0E 1B0",44.5743,-75.89414,613-923-1441,"180 acres of hills and forest, situated between Temperance Lake & Graham Lake. Come enjoy nature, relax or take part in outdoor activities like hiking, canoeing and kayaking. These lakes are favourites for the kayaker & canoeist. Large lots, kayak/canoe rentals. Tent sites & trailer rentals available. Known for our long-weekend pancake breakfasts!",75,35,40,30,68,0,0,7,$34 / $39,50 ft,"Activities In or Around the Campground:Casino, Fishing, Horseshoes, Walking/hiking trails, Wildlife viewing/birding",1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,1
Rocksprings Family Camp & KOA,"398235 28 Ave E, Owen Sound, Ontario, N4K 5N8",44.56883,-80.893,519-371-1331,"Hwy 6 north to right turn on 8th St E (from Hwy 26, turn south on 28th Ave E). Just 1 km east of Owen Sound. A family campground with full hookups, modern showers and washrooms, heated pool and more. Central location. Cabin rentals.",130,90,40,50,84,24,0,22,$30 / $55,60 ft,"Activities In or Around the Campground:Badminton, Basketball, Horseshoes, Volleyball, Walking/hiking trails",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
Roebuck Campground,"245370 22 Sideroad, RR 1, Meaford, Ontario, N4L 1W5",44.62627,-80.64857,519-375-1205,"Roebuck Campground is under new ownership. Please come and enjoy our hospitality and spectacular view of Georgian Bay. Access to Bruce Trail immediately out of gate on Tom Thomson. Large angled RV sites, private tenting sites, swim area, planned activities, recreation equipment available free of charge. Scenic area with lots of nearby attractions.",85,50,35,30,56,9,0,20,$30 / $50,45 ft,"Activities In or Around the Campground:Golf, Museum/heritage sites, Walking/hiking trails, Wine tours, Ziplining",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1
Roth Park Family Campground,"102 Parkside Ave, RR 4, Wiarton, Ontario, N0H 2T0",44.80664,-81.17013,519-534-0145,"Roth Park Family Campground is nestled in nature and close to Berford Lake. It has a shallow, sandy beach and is perfect for the entire family. Launch your boat or rent a kayak, canoe or pedal boat. Come stay and relax for the night, the week or the season!",126,49,77,30,0,111,0,15,$35 / $50,50 ft,"Activities In or Around the Campground:Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river), Volleyball",1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0
Rus-Ton Family Campground,"9787 Lakeshore Rd, Grand Bend, Ontario, N0M 1T0",43.25896,-81.80642,519-854-4188,"Whether you're looking to spend a night or a summer, Rus-Ton Family Campground has something for everyone young and the young at heart.",244,24,220,30,234,10,0,0,$ / $,,"Activities In or Around the Campground:Basketball, Cycling, Dances, Shuffleboard, Wine tours",0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1
Salem Woods Trailer Park,"448 Blyth Park Rd, RR 4, Colborne, Ontario, K0K 1S0",44.01192,-77.8373,905-355-3826,"Hwy 2 at Salem, west of Brighton, close to 401. Beautiful treed park with a 5-acre trout pond and an abundance of wildlife. Ideal for nature lovers. Full hookup with 30 and 15 amps. Level pull-thrus. Beautiful tenting area.",50,15,35,30,36,9,0,5,$20 / $45,,"Activities In or Around the Campground:Cycling, Fishing, Horseshoes, Volleyball, Walking/hiking trails",0,0,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
Sand Bay Family Campground,"92 Sand Bay Rd, RR 2, Combermere, Ontario, K0J 1L0",45.36608,-77.68141,613-756-5060,45 km N of Bancroft. 1 km from Hwy 62. Beautiful sand beach on Lake Kamaniskeg with overnight and housekeeping cabins and camping nestled in pine and birch grove.,50,5,45,30,50,0,0,0,$52 / $52,50 ft,"Activities In or Around the Campground:ATV-friendly, Cycling, Fishing, Motorboats allowed, Swimming (lake, river)",1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1
Sandaraska Park,"156 Sandaraska Rd, Pontypool, Ontario, L0A 1K0",44.09585,-78.57319,705-277-2000,We offer a quiet family campground for families who love the outdoors. We have traditional camping or an area where you can bring your horse and enjoy miles of trails. Seasonal sites available. Heated saltwater pool. Friendly staff.,243,50,193,30,201,19,0,23,$25 / $150,44 ft,"Activities In or Around the Campground:Cycling, Dances, Horseshoes, Volleyball, Walking/hiking trails",1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1
Sandbanks Beach Resort,"1818 County Rd 12, RR 1, Picton, Ontario, K0K 2T0",43.91128,-77.26981,613-393-3022,"Full-service sites, RV and cottage rentals. On West Lake, steps from famous Sandbanks. Swimming areas with gradual sandy bottom: perfect for kids. Good fishing for walleye, pike, bass. Beach fun, hiking, biking, winery touring are favourite activities for visitors to this area. Wildlife and a variety of birds. Come and explore Prince Edward County.",30,15,15,30,30,0,0,0,$ / $,35 ft,"Activities In or Around the Campground:Cycling, Fishing, Museum/heritage sites, Wildlife viewing/birding, Wine tours",0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0
Sandy Beach Resort & Trailer Court,"Sandy Beach Rd, 26 Oliver's Lane, Fenelon Falls, Ontario, K0M 1N0",44.56091,-78.80342,705-887-2550,"Quiet family park on Balsam Lake, part of the Trent/Severn waterway. Beautiful Balsam Lake is great for swimming, boating and fishing. Enjoy a swim at our sandy swimming area. We have 11 fully serviced overnight RV sites for the travelling family, 174 fully serviced seasonal sites, 11 rental cottages, docking facilities & 1 rental fishing boat.",185,11,174,30,185,0,0,0,$45 / $48,40 ft,"Activities In or Around the Campground:Motorboats allowed, Boat rental (motorized), Fishing",0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Sauble Beach Resort Camp,"877 Main St, Sauble Beach, Ontario, N0H 2G0",44.63034,-81.24488,519-422-1101,"We are a well-established, supervised family campground that offers modern washrooms, hot showers, an indoor/outdoor pool, a whirlpool, movie nights, wagon rides and much more. We are located just minutes away from Sauble Beach, the second-largest freshwater beach in the world, with breathtaking sunsets and 11 km of sandy beach.",300,100,200,50,250,50,0,0,$47 / $50,,"Activities In or Around the Campground:Golf, Mountain biking, Swimming (lake, river), Vehicle racing, Walking/hiking trails",1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0
Sauble Falls Tent & Trailer Park,"849 Sauble Falls Pkwy, Sauble Beach, Ontario, N0H 2T0",44.67911,-81.25626,519-422-1322,"Just 200 feet north of Sauble Falls. Minutes from sandy beach, Sauble Speedway. Excellent overnight and seasonal family camping. Hot showers, tennis, shuffleboard, horseshoes, recreation hall, playground, more! Hosts: the Gresels.",163,55,108,30,118,20,0,25,$40 / $55,40 ft,"Activities In or Around the Campground:Fitness, Horseshoes, Tennis, Volleyball, Walking/hiking trails",0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
Saugeen Cedars Family Campground,"401563 Grey Rd 4, Hanover, Ontario, N4N 3B8",44.15893,-80.98357,519-364-2069,"Every year, something new!!! Large sites on the banks of the beautiful Saugeen River, every site with 30 amps and drinking water. Enjoy a friendly, relaxed family atmosphere. Free WiFi, weekly events, shuffleboard, kayaks, tubes, waterslide and lots more. Follow us on Facebook for news and updates.",159,39,120,30,0,159,0,0,$38 / $55,45 ft,"Activities In or Around the Campground:Dances, Fishing, Horseshoes, Movies, Swimming (lake, river)",1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0
Saugeen Riverbank,"1343 Bruce Rd 4, RR 2, Walkerton, Ontario, N0G 2V0",44.14403,-81.09421,519-881-0491,We provide all your camping requirements while you discover the wonders and adventures of Grey Bruce County. Our campsites offer an excellent staging point to begin your Saugeen River Canoe Route journey. Our kayaking and river tubing rentals are a fantastic camping activity for the whole family. A wide variety of camping options are available.,55,15,40,30,40,12,0,3,$25 / $50,35 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Mountain biking, Pedal carts, Walking/hiking trails",0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1
Sault Ste Marie KOA Holiday,"501 Fifth Line E, Sault Ste Marie, Ontario, P6A 6J8",46.58134,-84.33033,705-759-2344,"2015 Campground of the Year, just 10 minutes N of downtown Sault Ste Marie & the train station. Spacious big-rig sites with pull-thrus, back-ins & patio sites, rustic & deluxe tent sites, rustic & deluxe cabins. Mini-golf, fun-bikes, pool, outdoor checkers, nature trails, playground, Kamp K9, agility field, self-serve dog grooming salon.",127,127,0,50,29,55,0,43,$37 / $79,100 ft,"Activities In or Around the Campground:Basketball, Golf (mini), Horseshoes, Walking/hiking trails, Wildlife viewing/birding",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
Scott's Tent and Trailer Park,"8845 Lundy's Lane, Niagara Falls, Ontario, L2H 1H5",43.08912,-79.14384,905-356-6988,"Niagara's most respected name in family camping for over 35 years. Affordable rates for travellers visiting Niagara Falls. From tenting to big rigs, we have the service and sites to meet your needs for great camping. WiFi included in rates.",196,166,30,50,140,56,0,0,$47 / $65,,"Activities In or Around the Campground:Badminton, Fishing, Go-karts, Horseshoes, Volleyball",0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0
Shangri-La Niagara,"3425 17th St, St Catharines (GPS = Town of Lincoln), Ontario, L2R 6P7",43.1278,-79.35682,905-562-5851,"Peaceful family camping on the scenic Niagara Escarpment in the heart of Niagara's wine country. Located in the Carolinian Forest on the Bruce Trail. 20 minutes from Niagara Falls and Niagara-on-the-Lake. Wineries, Lake Ontario and challenging golf courses are all nearby. Visit our website for our activities calendar.",190,65,125,50,0,165,10,15,$42 / $52,44 ft,"Activities In or Around the Campground:Walking/hiking trails, Volleyball, Chess, Golf (mini), Shuffleboard",1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0
Shelter Valley Park,"1806 Shelter Valley Rd, RR 1, Grafton, Ontario, K0K 2G0",44.01896,-77.98834,905-349-2037,"Seasonal sites available. Private family campground. Large treed fully serviced sites. 4-star 18-hole golf club on site, licensed clubhouse with cart rentals, mini-golf, spring trout fishing, volleyball, swimming, shuffleboard, playground, horseshoes and recreation hall.",166,16,150,30,156,10,0,0,$42 / $50,37 ft,"Activities In or Around the Campground:Fishing, Golf, Golf (mini), Swimming (lake, river), Volleyball",0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1
Sherwood Park Campground,"1141 Hwy 506, RR 2, Cloyne, Ontario, K0H 1K0",44.81348,-77.15891,613-336-8844,"59 acres on Story Lake, shaded and open sites, in-park or on-water, 5th-wheel-friendly. Enjoy serviced site or wilderness camping. Sandy beach, boating and fishing. Tuck shop, mini-golf, playgrounds, horseshoes, nature trails, rec hall, clean washrooms, dog park and hot showers. Minutes from Bon Echo, golf, tennis courts, shopping and ATV trails!",95,17,78,30,0,78,0,17,$32 / $42,40 ft,"Activities In or Around the Campground:ATV-friendly, Fishing, Golf, Golf (mini), Horseshoes",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1
Shore Acres Park,"574 Radical Rd, Port Dover, Ontario, N0A 1N2",42.78324,-80.22292,519-583-2222,"Ontario's south coast family trailer park! Relaxing drive to Port Dover. Shallow, warm waters of Lake Erie. Peaceful, affordable and friendly stay. Beautiful landscapes, mature trees, private beachfront and fully serviced sites. Seasonal and overnight available. See our sister campground Highland RV Resort at www.campinginontario/HighlandRVResort.",203,29,174,30,203,0,0,0,$41.59 / $53.98,40 ft,"Activities In or Around the Campground:Golf, Fishing, Theatre (live), Walking/hiking trails, Wine tours",1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Sid Turcotte Park,"750 Mattawan St, Mattawa, Ontario, P0H 1V0",46.31166,-78.71601,705-744-5375,"Picturesque resort located just off Hwy 17 in Mattawa. Over 2,000 feet of waterfront, great swimming, two beaches you can tube between, fishing, canoeing, ATVing. Offering a full range of campsites, including big-rig and pull-thru sites. Beautiful cottages and trailer rentals. Free WiFi hotspot. Large new playground in 2017. Leashed pets welcome.",95,37,58,30,68,17,0,10,$30 / $47,50 ft,"Activities In or Around the Campground:ATV-friendly, Fishing, Golf, Horseback riding, Movies",0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,0,1,0
Silver Dove Estates,"4838 Switzer Dr, Appin, Ontario, N0L 1A0",42.74878,-81.61632,519-289-2100,"Come stay in our beautiful 80-acre campground, with lots of nature in a quiet country atmosphere. Enjoy a large swimming pool, tennis, trails, horseshoes and mini-golf. Seasonal sites still available. ½ hour south of London, 10 minutes from the 401.",150,75,75,50,100,25,0,25,$36 / $40,50 ft,"Activities In or Around the Campground:Basketball, Day use, Golf (mini), Tennis, Wildlife viewing/birding",1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0
Silver Lake Tent & Trailer Park,"56 Silver Lake Rd (Kinloss), RR 2, Holyrood, Ontario, N0G 2B0",44.09313,-81.42723,519-395-3330,"We have over 3,000 feet of waterfront to explore, and an excellent lake to ski or fish. Gorgeous wilderness camping. Full-service sites. Rent a boat or launch your own. Fully equipped housekeeping cottages for rent.",110,40,70,30,70,40,0,0,$44 / $48,,"Activities In or Around the Campground:ATV-friendly, Boat rental (non-motorized), Fishing, Golf, Water skiing",0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,1
Silverstone Camping,"150 Gerhardt Rd, Port Severn, Ontario, L0K 1S0",44.78717,-79.71598,416-528-5918,"Hwy 400 north, exit 149 Quarry Rd, west to West Service Rd, north to Gerhardt Rd, west to campground on Georgian Bay. Seasonal and overnight. Free tenting for 2 days/nights when driving in with bicycle or electric car. Victoria Day to Thanksgiving weekend.",60,12,48,30,40,20,0,0,$40 / $50,,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Soccer, Walking/hiking trails, Water skiing",0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Sleepy Cedars Family Camping,"1893 Manotick Station Rd, Greely, Ontario, K4P 1H2",45.2353,-75.61158,613-821-0756,"Enjoy seasonal or daily camping on sites with picnic tables and fire pits. Choice of sites with 15- or 30-amp E/W hookups. The washroom facilities are centrally located, clean and well-maintained, with flush toilets and hot showers for everyone’s convenience. Our focus is on families and their camping enjoyment, so pack up the kids and drop in!",155,42,113,30,127,14,0,14,$28 / $55,48 ft,"Activities In or Around the Campground:Golf, Horseshoes, Table tennis, Volleyball, Walking/hiking trails",1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Smith's Trailer Park & Camp Midland Limited,"736 King St, Midland, Ontario, L4R 0B9",44.73731,-79.87469,705-526-4339,"1/2 mile from Highway 12. 5 minutes to shopping, golf courses, local attractions and hospital. Safe, sandy beach. Pool, playground, shuffleboard and more. A family tradition for 86 years. Your hosts: Rick and Erin Smith.",137,17,120,50,137,0,0,0,$44 / $60,50 ft,"Activities In or Around the Campground:Volleyball, Walking/hiking trails, Fishing, Horseshoes, Shuffleboard",0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0
Smugglers Cove RV Resort,"3187 County Rd 13, RR 3, Picton, Ontario, K0K 2T0",43.934,-77.01665,613-476-4125,"We are an RV-only park, new sites. Dedicated waterfront area for transient RVers. Amenities include saltwater pool, one cottage, one bunkie, boat ramp, nicely stocked store & sand beach. Lots to explore, visit local wineries, dine & shop in nearby Picton or just come to relax. No trains, planes or automobiles here. Our sunsets are second to none.",113,73,40,30,77,36,0,0,$47 / $65,40 ft,"Activities In or Around the Campground:Dances, Fishing, Horseshoes, Motorboats allowed, Wine tours",1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0
Spanish River Resort & Campground,"69 Colonization Rd, Spanish Ontario, Ontario, P0P 2A0",44.64362,-80.14621,705-844-2202,"The Spanish River Resort & Campground is Northern Ontario's fishing and summer vacation destination. With fishing packages, including cabin and boat rentals or serviced camp sites for Rv's, camper trailers and tenters, we have space for everyone. We also offer kiteboard lessons in the North Channel as well as canoe/kayak/boat rentals.",25,10,15,30,10,10,5,0,$30 / $150,50 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat tours (scenic), Fishing, Motorboats allowed, Swimming (lake, river)",0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0
Sportsman's Park,"604 Daoust Lake Rd, Alban, Ontario, P0M 1A0",46.11812,-80.68962,705-857-0461,"Located 30 minutes south of Sudbury on Daoust Lake Rd, off Highway 69. Only access to lake and 3 other secluded lakes. Great fishing and canoeing. Family campground; pets welcome. Open Mother's Day to end of September. We welcome all campers to come and stay with us. We have trailers to rent daily or weekly, and we love families.",110,10,100,30,0,79,0,31,$30 / $57,45 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Motorboats allowed, Swimming (lake, river), Walking/hiking trails",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
Springwater Trailer Resort and Campground,"4331 Hwy 7A, Nestleton, Ontario, L0B 1L0",44.14565,-78.77091,905-986-0274,"Family-owned and -operated. On 28 acres of lush forest. Spring-fed 1-acre swimming pond with sandy beach, kayaks, water trampoline. Huge dance/bingo hall, games room, pool table, coin laundry, washroom/shower/sinks building, tuck shop, volleyball, horseshoes, baseball. Wooded tenting area. Close to home, Lake Scugog and casino.",86,16,70,30,40,36,0,10,$35 / $45,35 ft,"Activities In or Around the Campground:Casino, Farmers' market/stands, Fishing, Horse racing, Ziplining",1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
St Clair Shores Campground,"2358 St. Clair Rd, Stoney Point, Ontario, N0R 1N0",42.31072,-82.58365,519-798-3475,"Beautiful sunsets! Enjoy private lakeside camping. Great for swimming, fishing and kayaking. 20 minutes from Windsor/border to US. Boat rental, stores and golf nearby. Firewood provided. Free-use boat launch for campers. French spoken here.",25,5,20,30,25,0,0,0,$45 / $60,40 ft,"Activities In or Around the Campground:Cycling, Fishing, Shopping, Swimming (lake, river)",0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Stanley Park,"1702 Monument Rd, RR 1, Spring Bay, Ontario, P0P 2B0",45.71421,-82.23473,705-377-4661,"Family camping at its best, 5 km west of Mindemoya on Lake Mindemoya. Safe sandy shores, private boat docking, large playground, clean modern washrooms and showers. General store and laundromat onsite. Good fishing. Virtually no mosquitoes or black flies. Your hosts: Randy and Tina Tolsma.",250,15,235,30,0,250,0,0,$29 / $35,50 ft,"Activities In or Around the Campground:Fishing, Fitness, Motorboats allowed, Swimming (lake, river), Table tennis",1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0
Stark's Golf Course & Trailer Park,"60 Dedrick Rd, RR 3, Port Rowan, Ontario, N0E 1M0",42.61758,-80.46596,519-586-2802,"Park across street from golf course. Quiet. Limited-number 9-hole 3,200-yard course. Lots have town water, holding tanks, 30 amps. Close to Long Point Beach. Boating, fishing, village of Port Rowan.",18,0,18,30,18,0,0,0,$ / $,40 ft,"Activities In or Around the Campground:Fishing, Golf, Shopping, Swimming (lake, river)",0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Steamboat Bay RV Resort,"92 Bingham Drive, Haley Station, Ontario, K0J 1Y0",45.57504,-76.67096,613-880-1487,"Steamboat Bay RV Resort is one of the region's newest RV destinations, with over 2,000 ft of Ottawa River waterfront and 21 full-service sites for seasonal campers. We offer new Northlander park models, or bring your own RV. Our site offers boat docks, a sand beach, over 20 miles of navigable water and some of Canada's best fishing.",21,2,19,50,21,0,0,0,$ / $,45 ft,"Activities In or Around the Campground:Fishing, Motorboats allowed, Spa, Swimming (lake, river), Walking/hiking trails",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
Stoney Point Resort,"1003 River Rd, PO Box 151, Hastings, Ontario, K0L 1Y0",44.30076,-77.96911,705-696-2107,"3 km west of Hwy 45 at Hastings on Front St. Beautifully treed family campground with sandy beach, new heated pool, store, rec hall and live entertainment. New docks, new playgrounds, great fishing, waterfront transient sites and more!",107,4,103,30,107,0,0,0,$45 / $50,38 ft,"Activities In or Around the Campground:Basketball, Dances, Fishing, Shuffleboard, Volleyball",1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0
Sturgeon Falls KOA,"818 Lalande Rd, Sturgeon Falls, Ontario, P2B 2V4",46.34974,-79.96712,705-753-5759,"If you like camping in a quiet environment with lots of space, this is your campground! The Sturgeon River takes centre stage here. Swim, fish, boat, kayak/canoe and paddleboat as you explore the area. Relax on one of the pontoon boat tours that depart right from the campground. Kids and adults love the 80-ft dock with a slide. Come see us!",64,43,21,50,53,0,4,7,$36 / $85,110 ft,"Activities In or Around the Campground:ATV-friendly, Boat rental (motorized), Boat tours (scenic), Fishing, Swimming (lake, river)",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0
Summer Place Trailer Resort,"174366 Hwy 25 N, Grand Valley, Ontario, L9W 0L9",43.95427,-80.32946,519-928-5408,"A quiet family campground nestled on the banks of the Grand River. Stay for the night, week or season. Sale of new and used RVs onsite.",330,30,300,30,300,20,0,10,$32 / $37,45 ft,"Activities In or Around the Campground:Boat rental (non-motorized), Fishing, Golf (mini), Walking/hiking trails, Wildlife viewing/birding",0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Summerland Rideau,"5118 Leo Lake Rd, RR 1, Seeley's Bay, Ontario, K0H 2N0",44.45229,-76.2716,613-387-3275,"Summerland Rideau: classic family camping at its finest. Experience a return to Mother Nature in a calm & beautiful setting on Cranberry Lake, on the Rideau Waterway. Kayaking, canoeing, fishing derbies, Family Fun Day, movie nights, dances & horseshoe tournaments are all part of an eventful summer schedule for a perfect family vacation experience.",75,8,67,30,17,54,0,4,$40 / $50,45 ft,"Activities In or Around the Campground:Wildlife viewing/birding, Volleyball, Dances, Fishing, Swimming (lake, river)",1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1
Sunny Acres Resort,"24 Sunny Acres Rd, Fenelon Falls, Ontario, K0M 1N0",44.53087,-78.78277,705-887-3416,"We are a quiet family-style campground that offers a relaxed atmosphere in a quiet country setting. On Cameron Lake (Trent/Severn waterway) near Fenelon Falls, we offer a sandy beach and great fishing, boat/motor rentals, tent/trailer sites, housekeeping cottages, small convenience store. Family-owned and -operated since 1949.",92,25,67,30,67,22,0,3,$40 / $42,38 ft,"Activities In or Around the Campground:Boat rental (motorized), Boat rental (non-motorized), Fishing, Motorboats allowed",0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
Sunny Hill Resort,"531 Sunny Hill Rd, Barry's Bay, Ontario, K0J 1B0",45.45659,-77.81754,613-756-2640,"Sunny Hill Resort (on east shore of Bark Lake), 13 km southwest of Barry's Bay via Dunn Street/County Road 69. Seasonal and overnight full-service sites, separate tent area. Full access to Bark Lake. Indoor saltwater pool. Hot tub. Flush toilets, showers no charge. Boat rentals. Good fishing. Rates on website.",111,21,90,30,100,1,0,10,$55 / $65,40 ft,"Activities In or Around the Campground:Basketball, Boat rental (motorized), Fishing, Swimming (lake, river), Volleyball",0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0
Sunset Country Campground Inc,"41 Riders Lane, Tichborne, Ontario, K0H 2V0",44.66298,-76.65816,613-375-6649,"16+ acres on beautiful Bob's Lake. Cottage/trailer rental. Safe beach. Pontoon and fishing boat rentals. Great fishing. Featuring Titan, our water trampoline.",98,6,92,50,93,3,1,1,$42 / $70,40 ft,"Activities In or Around the Campground:Boat rental (motorized), Fishing, Horseshoes, Motorboats allowed, Swimming (lake, river)",1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0
